GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,ESTAB,RCPTOT,PAYANN,PAYQTR1,EMP,ADMIN_PCT,IMPUT_PCT
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,Number of establishments,"Revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of revenue from administrative records (%),Percent of revenue estimated (%)
0400000US01,01,Alabama,,52,Finance and insurance,,2012,7294,,4465655,1164339,72763,,
0400000US01,01,Alabama,,521,Monetary authorities - central bank,,2012,1,95693,2165,544,20,0.0,0.0
0400000US01,01,Alabama,,5211,Monetary authorities - central bank,,2012,1,95693,2165,544,20,0.0,0.0
0400000US01,01,Alabama,,52111,Monetary authorities - central bank,,2012,1,95693,2165,544,20,0.0,0.0
0400000US01,01,Alabama,,521110,Monetary authorities - central bank,,2012,1,95693,2165,544,20,0.0,0.0
0400000US01,01,Alabama,,522,Credit intermediation and related activities,,2012,4123,,2198330,581565,42742,,
0400000US01,01,Alabama,,5221,Depository credit intermediation,,2012,2161,,1780418,474410,33694,,
0400000US01,01,Alabama,,52211,Commercial banking,,2012,1746,,1578147,425692,28645,,
0400000US01,01,Alabama,,522110,Commercial banking,,2012,1746,,1578147,425692,28645,,
0400000US01,01,Alabama,,5221101,National commercial banks (banking),,2012,392,,,,,,
0400000US01,01,Alabama,,5221102,State commercial banks (banking),,2012,1350,,1170829,318932,21835,,
0400000US01,01,Alabama,,52212,Savings institutions,,2012,24,,15400,3522,312,,
0400000US01,01,Alabama,,522120,Savings institutions,,2012,24,,15400,3522,312,,
0400000US01,01,Alabama,,5221201,"Savings institutions, federally chartered",,2012,23,,,,,,
0400000US01,01,Alabama,,5221203,"Savings institutions, not federally chartered",,2012,1,,,,,,
0400000US01,01,Alabama,,52213,Credit unions,,2012,391,848765,186871,45196,4737,0.5,3.6
0400000US01,01,Alabama,,522130,Credit unions,,2012,391,848765,186871,45196,4737,0.5,3.6
0400000US01,01,Alabama,,5221301,"Credit unions, federally chartered",,2012,164,395164,87519,21384,2135,0.0,2.2
0400000US01,01,Alabama,,5221309,"Credit unions, not federally chartered",,2012,227,453601,99352,23812,2602,0.9,4.8
0400000US01,01,Alabama,,5222,Nondepository credit intermediation,,2012,1388,1682199,328349,86172,6774,1.4,2.5
0400000US01,01,Alabama,,52221,Credit card issuing,,2012,4,,,,,,
0400000US01,01,Alabama,,522210,Credit card issuing,,2012,4,,,,,,
0400000US01,01,Alabama,,52222,Sales financing,,2012,53,102993,15290,4382,251,2.2,1.6
0400000US01,01,Alabama,,522220,Sales financing,,2012,53,102993,15290,4382,251,2.2,1.6
0400000US01,01,Alabama,,52229,Other nondepository credit intermediation,,2012,1331,,,,,,
0400000US01,01,Alabama,,522291,Consumer lending,,2012,638,665126,138456,38382,2899,0.9,2.4
0400000US01,01,Alabama,,522292,Real estate credit,,2012,254,576549,114903,27667,1937,1.0,2.6
0400000US01,01,Alabama,,5222929,Mortgage bankers and loan correspondents,,2012,239,,,,,,
